predict informations:
poly_300 x1x3x2 899.7691888093948
poly_1524 x3x1x2 899.7701241254806
poly_240 x3x2x1 899.8283864736557
poly_13 x3x1x2 899.8230098962783
poly_912 x2x3x1 899.7231344461441
poly_1165 x3x1x2 899.8286415815353
poly_726 x2x3x1 899.828462767601
poly_1008 x1x2x3 899.824209856987
poly_1717 x3x1x2 899.8107644796371
poly_490 x1x3x2 899.8270544290542
poly_649 x3x1x2 899.8262888669967
poly_452 x2x3x1 899.7605022668838
poly_1767 x1x3x2 899.8194889307022
poly_109 x2x1x3 899.7638534784317
poly_574 x3x2x1 899.81720392704
poly_1371 x1x2x3 899.8277355909347
poly_120 x1x3x2 899.8205439329147
poly_1755 x3x2x1 899.8226172208786
poly_1993 x1x3x2 899.8203164815902
poly_1746 x2x3x1 899.8303348302841
poly_972 x3x1x2 899.8258566141128
poly_734 x2x3x1 899.8258675813674
poly_1999 x3x2x1 899.8172712266445
poly_1461 x3x1x2 899.762427085638
poly_178 x1x2x3 899.8217809140682
poly_1124 x2x3x1 899.8258931577205
poly_380 x3x2x1 899.8240840375423
poly_1277 x1x2x3 899.8199558198452
poly_1459 x3x2x1 899.8176305234432
poly_695 x2x3x1 899.7595851361751
poly_891 x1x3x2 899.7691097199917
poly_1856 x3x2x1 899.8239316880703
poly_559 x2x3x1 899.822511190176
poly_1451 x3x1x2 899.8264779984951
poly_236 x1x2x3 899.8227133691311
poly_1208 x2x3x1 899.823549503088
poly_823 x1x3x2 899.8188085496425
poly_193 x1x3x2 899.8240005910396
poly_1851 x2x1x3 899.8186681210994
poly_110 x3x1x2 899.8275444447994
poly_201 x1x2x3 899.8203351438045
poly_1273 x3x2x1 899.7736535012722
poly_1508 x2x1x3 899.8165721833706
poly_1616 x2x1x3 899.8113710820675
poly_940 x3x1x2 899.821334117651
poly_1734 x2x3x1 899.831301921606
poly_286 x2x1x3 899.7637655675411
poly_1214 x3x1x2 899.7713649213314
poly_1489 x2x1x3 899.8219141900539
poly_973 x1x2x3 899.8160126149654
poly_446 x2x1x3 899.8248465001583
poly_539 x3x1x2 899.8209247529506
poly_115 x2x1x3 899.7692394196987
poly_739 x1x3x2 899.763002628088
poly_344 x1x3x2 899.8204774796963
poly_307 x2x1x3 899.8226563870907
poly_121 x2x3x1 899.7729332387447
poly_923 x1x3x2 899.8284311234951
poly_1564 x3x1x2 899.8233799874782
poly_349 x1x2x3 899.8225386083126
poly_194 x2x3x1 899.8130071103573
poly_1584 x1x3x2 899.7214705884456
poly_846 x1x3x2 899.8235333383084
poly_1181 x1x2x3 899.8241887509823
poly_780 x3x2x1 899.8264780461789
poly_1848 x2x3x1 899.8085003316403
poly_1784 x2x1x3 899.7707376897336
poly_179 x3x1x2 899.7727244317532
poly_285 x2x3x1 899.769993108511
poly_406 x2x1x3 899.77244643569
poly_235 x2x1x3 899.7702002942563
poly_1700 x3x2x1 899.8195302903653
poly_716 x2x1x3 899.8234043538571
poly_867 x2x1x3 899.8240602433682
poly_1949 x1x2x3 899.8229105889798
poly_1779 x1x2x3 899.830125373602
poly_721 x3x1x2 899.8247099339962
poly_1168 x3x1x2 899.827423375845
poly_573 x1x3x2 899.7729089677334
poly_778 x2x1x3 899.8293300092221
poly_1742 x1x3x2 899.8211751401425
poly_1241 x3x1x2 899.8222096383572
poly_1493 x1x3x2 899.8100545823575
poly_221 x3x1x2 899.8179965436459
poly_52 x2x1x3 899.8243332326413
poly_1649 x2x1x3 899.8258099973202
poly_1186 x1x2x3 899.8251302659512
poly_327 x2x1x3 899.7701023042202
poly_1157 x3x1x2 899.7721412599087
poly_959 x3x1x2 899.8245447099209
poly_647 x2x1x3 899.828810018301
poly_1736 x1x2x3 899.8288937032223
poly_1706 x2x1x3 899.8252761781216
poly_273 x1x3x2 899.8207989156247
poly_1480 x2x3x1 899.8275697648526
poly_1850 x3x1x2 899.8243687570096
poly_1483 x2x1x3 899.8203304231167
poly_1727 x1x2x3 899.8291755139828
poly_1418 x1x3x2 899.8207266747952
poly_58 x3x1x2 899.8283203065396
poly_1517 x2x3x1 899.7656689107419
poly_1521 x2x1x3 899.7741711556912
poly_710 x1x3x2 899.8235080778599
poly_1778 x1x2x3 899.823134714365
poly_1834 x2x1x3 899.7765465319156
poly_1633 x3x2x1 899.8255549013614
poly_413 x3x1x2 899.8276975691318
poly_1830 x1x2x3 899.8186572134495
poly_1608 x3x1x2 899.8258395731449
poly_985 x2x1x3 899.7786186277866
poly_181 x3x2x1 899.8243988096714
poly_1404 x2x3x1 899.774867349863
poly_313 x1x2x3 899.825591379404
poly_1571 x3x1x2 899.8048556387424
poly_1327 x1x2x3 899.8250167906284
poly_930 x2x3x1 899.8265379011631
poly_1804 x1x2x3 899.8091395437717
poly_1813 x3x2x1 899.7644630014896
poly_1764 x3x1x2 899.7666831552982
poly_1540 x2x3x1 899.8104310572147
poly_1519 x1x2x3 899.7709832727909
poly_1083 x3x2x1 899.8291848242283
poly_205 x3x2x1 899.8236294329166
poly_553 x1x3x2 899.7608724176883
poly_1387 x3x2x1 899.8207545816898
poly_740 x1x2x3 899.828807169199
poly_365 x2x1x3 899.8237660467624
poly_317 x1x2x3 899.8290083944797
poly_1105 x2x3x1 899.8224900305271
poly_1958 x3x2x1 899.830116802454
poly_544 x1x3x2 899.8227363169193
poly_174 x2x3x1 899.8127284586429
poly_1589 x2x3x1 899.8059173166752
poly_1465 x2x1x3 899.8268037378788
poly_1436 x1x3x2 899.766025596857
poly_1491 x3x1x2 899.8245938360691
poly_1690 x2x1x3 899.8311377108097
poly_1448 x2x1x3 899.8215516149997
poly_1553 x3x1x2 899.8269336760044
poly_247 x2x1x3 899.8289673864841
poly_1871 x2x3x1 899.8238468706608
poly_38 x3x1x2 899.8294082224369
poly_597 x2x1x3 899.7659645795823
poly_1601 x3x1x2 899.7713666677475
poly_1309 x3x2x1 899.7743216276169
poly_1989 x3x1x2 899.7741304159165
poly_549 x2x3x1 899.7586549043656
poly_213 x1x2x3 899.8248050928116
poly_1203 x3x1x2 899.8281918287278
poly_579 x1x3x2 899.7654348134995
poly_1836 x3x2x1 899.7615402460099
poly_418 x1x3x2 899.8258302927018
poly_1556 x3x1x2 899.8197146177292
poly_1829 x3x2x1 899.8282886266709
poly_190 x2x3x1 899.8256405115128
poly_1925 x3x2x1 899.8258884668351
poly_1095 x3x2x1 899.8227635145188
poly_1808 x1x2x3 899.8199690103531
poly_1908 x3x2x1 899.8261638402939
poly_14 x3x2x1 899.8232751607895
poly_1918 x3x2x1 899.7709720849991
poly_751 x1x3x2 899.8254092454911
poly_284 x1x2x3 899.8214567422867
poly_582 x3x2x1 899.8276606321335
poly_1100 x2x3x1 899.8272681951523
poly_1346 x2x1x3 899.8257394552231
poly_1405 x1x2x3 899.8289678812027
poly_482 x3x1x2 899.8266256570816
poly_810 x3x1x2 899.7683258771897
poly_1001 x3x1x2 899.7690969228745
poly_145 x1x2x3 899.7767031908036
poly_1407 x1x3x2 899.8297649145127
poly_1057 x3x1x2 899.8142982244492
poly_1406 x3x2x1 899.8284176111222
poly_493 x1x2x3 899.8291416883469
poly_1528 x1x3x2 899.822042298317
poly_583 x3x2x1 899.8237660646439
poly_1396 x2x3x1 899.8228905916214
poly_1494 x1x3x2 899.7726486444474
poly_1502 x3x1x2 899.8245204210282
poly_505 x3x1x2 899.8295822858811
poly_625 x1x2x3 899.8260343790055
poly_198 x1x3x2 899.822139543295
poly_887 x2x3x1 899.7738588273526
poly_1997 x1x2x3 899.8292110383511
poly_1093 x3x1x2 899.7739332139492
poly_908 x3x1x2 899.7690051019192
poly_889 x1x3x2 899.8283489167691
poly_348 x1x2x3 899.8166823804379
poly_453 x3x2x1 899.8235707700253
poly_864 x2x1x3 899.7706430375576
poly_466 x2x3x1 899.7595887601376
poly_1854 x2x1x3 899.8155575215817
poly_383 x2x3x1 899.8256795823575
poly_1879 x1x3x2 899.7218368470669
poly_1938 x1x3x2 899.7758715569973
poly_117 x2x1x3 899.827024024725
poly_593 x2x1x3 899.8277452409268
poly_1070 x3x1x2 899.8117630898953
poly_1858 x1x2x3 899.8235769689084
poly_841 x3x2x1 899.8172166764737
poly_921 x3x1x2 899.8275595128537
poly_520 x2x3x1 899.8201711595059
poly_1654 x1x3x2 899.8278184354306
poly_1141 x1x2x3 899.8229284703732
poly_1234 x2x1x3 899.8287432610989
poly_1771 x1x2x3 899.8187942922116
poly_874 x2x1x3 899.7637472569943
poly_1017 x1x3x2 899.823401015997
poly_1565 x1x2x3 899.7751989781857
poly_683 x2x1x3 899.8220408380032
poly_1516 x3x1x2 899.8263101994992
poly_1310 x3x1x2 899.8240757405758
poly_420 x1x3x2 899.8242216527462
poly_1939 x2x1x3 899.8284471452237
poly_1968 x1x2x3 899.8277285516263
poly_26 x3x2x1 899.8145525872708
poly_955 x3x1x2 899.7249560773373
poly_750 x2x3x1 899.8180590093136
poly_1622 x2x3x1 899.8217709481717
poly_1809 x1x3x2 899.8236308515072
poly_798 x2x1x3 899.7715511739254
poly_72 x2x1x3 899.8267267644405
poly_1245 x1x2x3 899.7734011113644
poly_1896 x2x1x3 899.8166290223598
poly_1648 x3x2x1 899.8273411691189
poly_1751 x2x3x1 899.8214722573757
poly_1154 x1x3x2 899.7716093957424
poly_1623 x2x1x3 899.7719675004482
poly_607 x1x2x3 899.8280006349087
poly_1991 x2x3x1 899.8160751760006
poly_1175 x2x3x1 899.8209210336208
poly_328 x2x3x1 899.8224376142025
poly_47 x2x3x1 899.7723976075649
poly_1170 x2x1x3 899.7662199437618
poly_152 x2x1x3 899.8222912251949
poly_1411 x1x2x3 899.8305283486843
poly_879 x2x1x3 899.8121634423733
poly_163 x3x1x2 899.8200863301754
poly_183 x1x2x3 899.8232038915157
poly_1384 x3x2x1 899.8197933137417
poly_396 x3x2x1 899.8154290616512
poly_1797 x3x2x1 899.7685743272305
poly_1153 x3x2x1 899.8235736787319
poly_191 x3x1x2 899.811223834753
poly_1865 x2x1x3 899.823533385992
poly_1265 x1x3x2 899.820686429739
poly_1681 x2x3x1 899.8298164308071
poly_1579 x2x3x1 899.8245261609554
poly_1292 x2x3x1 899.8286894261837
poly_749 x3x2x1 899.8105076253414
poly_7 x2x3x1 899.8264094293118
poly_1143 x3x2x1 899.8238445222378
poly_533 x2x1x3 899.8202429711819
poly_1843 x2x3x1 899.778089851141
poly_664 x2x3x1 899.8264571130276
poly_1000 x1x3x2 899.8266662061214
poly_1179 x2x1x3 899.822812885046
poly_719 x2x1x3 899.8216803967953
poly_296 x1x2x3 899.8164947926998
poly_1344 x1x2x3 899.7720981538296
poly_398 x3x2x1 899.8212958276272
poly_331 x3x1x2 899.8237819671631
poly_1914 x1x3x2 899.8209927082062
poly_990 x1x2x3 899.8264486789703
poly_290 x2x3x1 899.7673602104187
poly_336 x3x1x2 899.824057340622
poly_421 x1x2x3 899.8192298412323
poly_1062 x2x1x3 899.7717084884644
poly_1462 x2x1x3 899.8296489715576
poly_1781 x2x1x3 899.772567987442
poly_956 x2x1x3 899.8238346576691
poly_855 x2x3x1 899.8252356052399
poly_569 x3x2x1 899.7672052383423
poly_1350 x2x3x1 899.8184430599213
poly_712 x3x2x1 899.8239006996155
poly_1013 x1x3x2 899.776064157486
poly_1990 x1x3x2 899.8256437778473
poly_1177 x2x3x1 899.7682538032532
poly_587 x2x1x3 899.824479341507
poly_107 x3x1x2 899.8221464157104
poly_1605 x3x1x2 899.818929195404
poly_1743 x3x2x1 899.8188536167145
poly_1614 x1x2x3 899.8231189250946
poly_913 x1x3x2 899.757898569107
poly_1191 x1x3x2 899.816104888916
poly_412 x1x2x3 899.7664368152618
poly_353 x3x1x2 899.8215062618256
poly_1972 x3x1x2 899.8256890773773
poly_160 x1x2x3 899.8173303604126
poly_358 x2x1x3 899.7685067653656
poly_1876 x3x1x2 899.813987493515
poly_1440 x2x1x3 899.814935207367
poly_897 x2x3x1 899.8293190002441
poly_1289 x3x2x1 899.8128278255463
poly_1122 x2x1x3 899.8278453350067
poly_422 x2x3x1 899.8205435276031
poly_931 x2x3x1 899.8096425533295
poly_1318 x2x3x1 899.817462682724
poly_542 x3x2x1 899.7794222831726
poly_1028 x2x1x3 899.8209154605865
poly_280 x3x2x1 899.8286356925964
poly_839 x2x1x3 899.8222564399242
poly_1852 x3x2x1 899.8202427566051
poly_581 x2x1x3 899.8171425998211
poly_709 x1x3x2 899.8262878596782
poly_1573 x1x2x3 899.8250275790691
poly_1726 x2x1x3 899.8216799438
poly_407 x2x3x1 899.8248788058758
poly_411 x2x1x3 899.772191876173
poly_1998 x3x1x2 899.8232830703258
poly_55 x2x3x1 899.8210016429424
poly_865 x2x1x3 899.8249267280102
poly_1756 x2x3x1 899.8258465468883
poly_222 x2x1x3 899.8248737990856
poly_982 x2x3x1 899.8243795573711
poly_1978 x2x3x1 899.8284233748913
poly_340 x2x3x1 899.8297256171703
poly_1712 x3x1x2 899.8164335429668
poly_1881 x2x1x3 899.8248149096966
poly_1053 x3x2x1 899.8214274585247
poly_1581 x3x2x1 899.8257049262523
poly_1935 x3x1x2 899.8253449141979
poly_223 x2x3x1 899.8254495799541
poly_1033 x2x1x3 899.8245936572551
poly_1216 x1x3x2 899.8205615222454
poly_449 x3x1x2 899.8127108752727
poly_761 x1x3x2 899.8234862029552
poly_1620 x2x1x3 899.823993319273
poly_598 x2x1x3 899.8276008307934
poly_46 x1x3x2 899.823182696104
poly_1286 x3x1x2 899.8228648841381
poly_241 x2x3x1 899.8223925769329
poly_1012 x2x3x1 899.8159881770611
poly_1902 x1x3x2 899.7696281611919
poly_1333 x3x2x1 899.7689567744732
poly_1149 x1x3x2 899.7694109618664
poly_1916 x1x3x2 899.8171888530254
poly_1686 x3x1x2 899.8184155166149
poly_697 x2x3x1 899.8204485118389
poly_319 x3x2x1 899.8217402637005
poly_419 x2x1x3 899.8239635169506
poly_1322 x1x2x3 899.7741603970528
poly_1595 x1x3x2 899.8262610554696
poly_1912 x2x3x1 899.8242824196816
poly_1361 x3x1x2 899.7711980462075
poly_784 x1x2x3 899.8235077977181
poly_947 x2x1x3 899.8222901940346
poly_1661 x2x3x1 899.774287712574
poly_899 x1x2x3 899.82671905756
poly_1356 x2x1x3 899.7652871727944
poly_1590 x3x1x2 899.7712755322457
poly_70 x3x2x1 899.8189525723458
poly_866 x2x1x3 899.8281202435494
poly_1789 x2x1x3 899.8237693428994
poly_1890 x2x1x3 899.8180317997933
poly_1290 x1x2x3 899.8177170872689
poly_1360 x2x1x3 899.8259470582009
poly_1591 x1x3x2 899.8293583512307
poly_1114 x2x1x3 899.7710027813912
poly_1900 x1x3x2 899.8165872216225
poly_537 x3x2x1 899.8297915577889
poly_271 x3x1x2 899.8285892128945
poly_1049 x3x1x2 899.8256158947945
poly_1131 x3x2x1 899.7228458046914
poly_474 x2x1x3 899.7684936642647
poly_904 x1x2x3 899.8115036606789
poly_1788 x3x1x2 899.7742750763894
poly_1389 x3x2x1 899.8249812245369
poly_1130 x2x1x3 899.7605989098549
poly_184 x2x1x3 899.8239691376687
poly_1397 x3x2x1 899.7785363316536
poly_119 x2x1x3 899.8214984059334
poly_903 x1x2x3 899.8215367913247
poly_1433 x2x1x3 899.8224372982979
poly_381 x1x2x3 899.8173933148385
poly_1194 x2x1x3 899.8293812394143
poly_1110 x1x2x3 899.8281002163887
poly_1875 x1x2x3 899.8229987740517
poly_1353 x1x2x3 899.8218591332436
poly_299 x3x2x1 899.8280193924904
poly_1942 x2x1x3 899.8167715191842
poly_568 x3x1x2 899.8268135368824
poly_395 x3x2x1 899.7671857655048
poly_936 x2x1x3 899.7691040813922
poly_1184 x1x2x3 899.824688988924
poly_382 x3x1x2 899.7674167931079
poly_925 x1x2x3 899.8286336243152
poly_29 x3x2x1 899.8257656872272
poly_771 x2x1x3 899.8306520760059
poly_133 x3x2x1 899.8265147984027
poly_376 x2x1x3 899.8218131840229
poly_700 x1x3x2 899.8259254276752
poly_1357 x2x1x3 899.8259702503681
poly_1231 x1x3x2 899.8292821228504
poly_875 x1x3x2 899.8127582848072
poly_318 x1x3x2 899.8219312012195
poly_416 x2x1x3 899.8249986946582
poly_397 x1x3x2 899.7749272167682
poly_1118 x1x2x3 899.8265028774738
poly_227 x3x1x2 899.8193023979663
poly_1225 x1x2x3 899.8299973785877
poly_1849 x1x2x3 899.814141112566
poly_112 x3x1x2 899.7665415585041
poly_1247 x1x3x2 899.8245285332202
poly_743 x1x2x3 899.8227034389972
poly_1631 x3x2x1 899.8797362625598
poly_1398 x1x3x2 899.8079789459705
poly_1497 x2x3x1 899.8189009010791
poly_1096 x2x3x1 899.7227128326892
poly_1228 x2x1x3 899.8268111526966
poly_640 x2x1x3 899.8155854523181
poly_275 x3x2x1 899.8148177444934
poly_1869 x2x3x1 899.8171554386615
poly_410 x3x1x2 899.8208421051502
poly_886 x3x2x1 899.823637086153
poly_1515 x2x3x1 899.8284624397754
poly_1674 x2x1x3 899.8214269459247
poly_92 x3x1x2 899.8219407379627
poly_1314 x2x3x1 899.8142982304096
poly_1924 x2x3x1 899.8186565220356
poly_211 x2x1x3 899.8231325924396
poly_1534 x2x1x3 899.8087421953678
poly_805 x2x1x3 899.8266164362431
poly_351 x3x1x2 899.7703155577183
poly_1137 x2x3x1 899.8295995295048
poly_718 x2x3x1 899.8237189352512
poly_1523 x3x2x1 899.7764710485935
poly_944 x2x1x3 899.7776290476322
poly_702 x2x1x3 899.8219801485538
poly_1044 x2x1x3 899.8204652369022
poly_1861 x3x2x1 899.8170484602451
poly_165 x3x2x1 899.8126176893711
poly_366 x3x1x2 899.8189763128757
poly_1643 x3x1x2 899.823128849268
poly_1329 x2x3x1 899.8281973898411
poly_1229 x2x1x3 899.8256014883518
poly_799 x3x2x1 899.817495495081
poly_748 x3x1x2 899.8297053873539
poly_967 x3x2x1 899.7781762182713
poly_1089 x1x3x2 899.82727637887
poly_1837 x1x2x3 899.8200367987156
poly_1278 x3x2x1 899.8210963308811
poly_143 x1x3x2 899.7619818747044
poly_477 x1x2x3 899.8257359564304
poly_1109 x2x1x3 899.816999822855
poly_705 x2x3x1 899.8247582018375
poly_1128 x1x2x3 899.8252641260624
poly_878 x2x3x1 899.8219269812107
poly_1252 x2x3x1 899.8242661058903
poly_425 x2x3x1 899.7601181566715
poly_48 x2x1x3 899.824533611536
poly_182 x1x2x3 899.8171044886112
poly_1733 x3x1x2 899.8266259729862
poly_450 x1x3x2 899.8270763456821
poly_701 x2x1x3 899.809910684824
poly_1750 x1x3x2 899.8219667971134
poly_28 x3x1x2 899.829218775034
poly_1073 x1x2x3 899.827084928751
poly_993 x2x1x3 899.8184985220432
poly_1111 x3x1x2 899.8277908861637
poly_1037 x2x3x1 899.8200267851353
poly_687 x3x2x1 899.8246764302254
poly_919 x3x1x2 899.7761341691017
poly_1615 x1x2x3 899.8235875725746
poly_964 x3x1x2 899.8170117497444
poly_1708 x1x2x3 899.8114627957344
poly_479 x1x3x2 899.8239289879799
poly_1222 x1x2x3 899.8102141976357
poly_1155 x2x1x3 899.8230103611946
poly_720 x3x1x2 899.7752017140389
poly_1833 x1x2x3 899.8226846814156
poly_293 x3x2x1 899.8307458519936
poly_659 x1x3x2 899.8175772786141
poly_185 x3x2x1 899.8229111790657
poly_1463 x2x1x3 899.8280903458596
poly_745 x2x3x1 899.8216175198555
poly_612 x1x2x3 899.8236829400063
poly_156 x1x2x3 899.7761830449105
poly_723 x2x3x1 899.8075963616371
poly_845 x1x2x3 899.774299299717
poly_1275 x3x2x1 899.7753752827645
poly_1701 x1x3x2 899.8173426747322
poly_819 x2x1x3 899.7758361458779
poly_943 x1x2x3 899.8246788144112
poly_1754 x3x1x2 899.8299178242684
poly_1872 x2x3x1 899.8311115860939
poly_1466 x3x2x1 899.8131054997444
poly_1200 x1x3x2 899.8186442017555
poly_1870 x1x2x3 899.8270544171334
poly_950 x1x3x2 899.8279039025307
poly_249 x1x3x2 899.8256858944893
poly_1383 x2x1x3 899.7741738915444
poly_1430 x2x1x3 899.8196193337441
poly_1444 x2x3x1 899.814999973774
poly_560 x3x1x2 899.8201734185219
poly_911 x2x1x3 899.8249971032143
poly_554 x3x1x2 899.8228036522866
poly_981 x2x1x3 899.7674736142159
poly_1284 x1x3x2 899.8264402508736
poly_1244 x3x1x2 899.8297137379647
poly_1010 x2x3x1 899.8229664921761
poly_309 x2x3x1 899.768696475029
poly_1080 x1x3x2 899.8278519392013
poly_1803 x1x3x2 899.8285016298294
poly_196 x2x3x1 899.8258444547653
